CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
281310057,19,MANHATTAN,6/15/23,15:00:00,8/9/23,15:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",RESIDENCE - APT. HOUSE,1/29/24,(null),UNKNOWN,UNKNOWN,U,,65+,WHITE,M,997272,219780,40.769915,-73.952985,"(40.769915, -73.952985)",POINT (-73.952985 40.769915)
288534034,28,MANHATTAN,12/1/23,9:00:00,6/14/24,10:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",PUBLIC SCHOOL,6/14/24,(null),UNKNOWN,BLACK,F,,UNKNOWN,UNKNOWN,D,996736,231658,40.802516,-73.954899,"(40.802516, -73.954899)",POINT (-73.954899 40.802516)
285406808,61,BROOKLYN,10/1/23,12:00:00,4/10/24,12:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,4/10/24,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,M,997364,155130,40.592463,-73.95278,"(40.592463, -73.95278)",POINT (-73.95278 40.592463)
280209841,19,MANHATTAN,8/13/23,9:00:00,8/25/23,16:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,407,"LARCENY,GRAND BY DISHONEST EMP",RESIDENCE - APT. HOUSE,1/9/24,(null),UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,997421,221557,40.774791,-73.952445,"(40.774791, -73.952445)",POINT (-73.952445 40.774791)
284155182,19,MANHATTAN,3/28/23,12:00:00,4/20/23,10:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",OTHER,3/21/24,(null),(null),(null),(null),,UNKNOWN,UNKNOWN,D,996749,218838,40.767328,-73.954874,"(40.767328, -73.954874)",POINT (-73.954874 40.767328)
291638257,67,BROOKLYN,5/5/23,10:00:00,,(null),COMPLETED,(null),,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,(null),PATROL BORO BKLYN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",MAILBOX OUTSIDE,8/13/24,(null),(null),(null),(null),,45-64,BLACK,F,997786,177027,40.652566,-73.951216,"(40.652566, -73.951216)",POINT (-73.951216 40.652566)
289290301,61,BROOKLYN,12/28/23,11:10:00,5/29/24,17:38:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,407,"LARCENY,GRAND BY DISHONEST EMP",GYM/FITNESS FACILITY,6/14/24,(null),UNKNOWN,WHITE,M,,UNKNOWN,UNKNOWN,D,997703,152568,40.58543,-73.951564,"(40.58543, -73.951564)",POINT (-73.951564 40.58543)
280343822,19,MANHATTAN,11/8/23,10:00:00,11/8/23,10:05:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE - APT. HOUSE,1/11/24,(null),UNKNOWN,UNKNOWN,U,,45-64,WHITE,M,996749,218838,40.767328,-73.954874,"(40.767328, -73.954874)",POINT (-73.954874 40.767328)
280885313,28,MANHATTAN,11/29/23,17:00:00,1/2/24,21:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,(null),PATROL BORO MAN NORTH,168,SODOMY 1,RESIDENCE - APT. HOUSE,1/21/24,(null),25-44,WHITE,M,,18-24,WHITE,F,997407,233806,40.80841775,-73.95247406,"(40.8084177460021, -73.9524740603515)",POINT (-73.9524740603515 40.8084177460021)
280120007,71,BROOKLYN,11/7/23,0:01:00,11/8/23,0:01:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,1/7/24,(null),UNKNOWN,UNKNOWN,U,,65+,BLACK,F,997311,182068,40.666402,-73.952917,"(40.666402, -73.952917)",POINT (-73.952917 40.666402)
